Algorithm,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.5902,0.5909,0.7879,0.6753,0.5866
SVM,0.5574,0.5652,0.7879,0.6582,0.5227
Random Forest,0.5082,0.5366,0.6667,0.5946,0.5
XGBoost,0.4918,0.5294,0.5455,0.5373,0.5552
